fdid,fire_dept_name,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,mail_addr1,mail_addr2,mail_po_box,mail_city,mail_state,mail_zip,hq_phone,hq_fax,county,dept_type,org_type,website,no_of_stations,active_firefighters_career,active_firefighters_volunteer,active_firefighters_paid_per_call,nonfirefighting_civilian,nonfirefighting_volunteer,primary_agency_for_em
"10032","Dania Beach Fire-Rescue","102 W Beach BLVD","PO Box 1708","Dania Beach","FL","33004","100 W Beach BLVD","","PO Box 1708","Dania Beach","FL","33004","(954) 924-3727","(954) 921-0959","BROWARD                  ","Career","Local (includes career  combination  and volunteer)","","2","53","0","0","2","0",""
"36131","Darlington Gaskin Fire Rescue","60 CO HWY 181 E","","Westville","FL","32433","60 CO HWY 181 E","","","Westville","FL","32433","(850) 834-5243","(850) 834-5311","WALTON                   ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","2","3","10","0","0","0",""
"05031","Davenport Fire and Rescue","112 W Palmetto  ST","","Davenport","FL","33836","","","PO Box 125","Davenport","FL","33836-0125","863-419-3305","863-419-3302","POLK                     ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://www.mydavenport.org/index.asp?Type=B_BASIC&SEC=%7B9CDC09FF-11DD-450A-9A3E-EB8E92F50EFB%7D","1","8","12","0","0","0","Yes"
"08072","Daytona Beach Fire Department","301 S Beach ST","","Daytona Beach","FL","32114-5001","301 S Beach ST","","","Daytona Beach","FL","32114-5001","386-671-4000","386-671-4005","VOLUSIA                  ","Career","Local (includes career  combination  and volunteer)","https://www.dbfd.us/","7","98","0","0","6","0","Yes"
"08022","Daytona Beach Shores Department of Public Safety - Fire Prevention Division","3050 S Atlantic AVE","","Daytona Beach Shores","FL","32118-6102","3050 S Atlantic AVE","","","Daytona Beach Shores","FL","32118-6102","386-763-5333","386-763-5341","VOLUSIA                  ","Career","Local (includes career  combination  and volunteer)","https://www.dbshores.org/","1","35","0","0","5","3","Yes"
"10042","Deerfield Beach Fire/Rescue","928 E Hillsboro BLVD","","Deerfield Beach","FL","33441","928 E Hillsboro BLVD","","","Deerfield Beach","FL","33441","(954) 480-4350","(954) 427-3349","BROWARD                  ","Career","Local (includes career  combination  and volunteer)","","4","131","0","0","0","0",""
"36012","DeFuniak Springs Fire Department","58 W Burdick AVE","","DeFuniak Springs","FL","32433-7324","58 W Burdick AVE","","","DeFuniak Springs","FL","32433-7324","850-892-8515","850-892-8506","WALTON                   ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.defuniaksprings.net/index.aspx?nid=196","1","10","0","5","0","0","No"
"08032","DeLand Fire Department","201 W Howry AVE","","DeLand","FL","32720-5423","201 W Howry AVE","","","DeLand","FL","32720-5423","386-740-5836","386-740-6865","VOLUSIA                  ","Career","Local (includes career  combination  and volunteer)","https://www.deland.org/Pages/DeLandFL_Fire/index","3","44","0","0","4","2",""
"25071","Dellwood Volunteer Fire Department","6404  Bluesprings RD","","Greenwood","FL","32443","3563 Highway 69","","","Grand Ridge","FL","32442-4263","334-791-9399","850-592-8719","JACKSON                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","9","0","0","15","Yes"
"06172","Delray Beach Fire-Rescue Department","501 W Atlantic AVE","","Delray Beach","FL","33444-2555","501 W Atlantic AVE","","","Delray Beach","FL","33444-2555","561-243-7400","561-243-7461","PALM BEACH               ","Career","Local (includes career  combination  and volunteer)","https://mydelraybeach.com/","6","142","0","0","12","1","Yes"
"08021","Deltona Fire Rescue Department","1685 Providence BLVD","","Deltona","FL","32725-4928","1685 Providence BLVD","","","Deltona","FL","32725-4928","386-575-6902","386-860-7198","VOLUSIA                  ","Career","Local (includes career  combination  and volunteer)","https://www.deltonafl.gov/","4","73","0","0","4","0","Yes"
"27041","Desoto City Volunteer Fire Department","6800 George BLVD W","","Sebring","FL","33875","6800 George BLVD W","","","Sebring","FL","33875","863-402-6870","863-402-6872","HIGHLANDS                ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","4","2","24","0","0","5",""
"34022","DeSoto County Fire & Rescue","1985 SE Carlstrom Field RD","","Arcadia","FL","34266","1985 SE Carlstrom Field RD","","","Arcadia","FL","34266-7748","863-993-4842","863-993-4844","DE SOTO                  ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.desotobocc.com/","3","48","20","0","4","0","No"
"43011","Destin Fire Control District","848 Airport RD","","Destin","FL","32541-2635","848 Airport RD","","","Destin","FL","32541-2635","850-837-8413","850-837-6715","OKALOOSA                 ","Career","Local (includes career  combination  and volunteer)","https://destinfire.com/","2","28","0","0","4","0","No"
"13042","Division of State Fire Marshal","200 E Gaines ST","","Tallahassee","FL","32399","200 E Gaines ST","","","Tallahassee","FL","32399-6502","850-413-3609","850-922-1235","LEON                     ","Career","State government","https://www.myfloridacfo.com/sfm/","1","35","0","0","215","0","No"
"54521","Dixie County Fire Services","17600 SE Highway 19","","Cross City","FL","32628-3506","17600 SE Highway 19","","","Cross City","FL","32628-3506","352-498-1240","352-498-1244","DIXIE                    ","Mostly Career","Local (includes career  combination  and volunteer)","https://dixieemergency.com/Fire_Services.cfm","6","19","18","0","0","31","No"
"43081","Dorcas Fire District","5871 Hwy 393 HWY","","Crestview","FL","32539","5871 Hwy 393 HWY","","","Crestview","FL","32539","(850) 682-7940","(850) 683-1080","OKALOOSA                 ","Volunteer","Local (includes career  combination  and volunteer)","","2","0","21","0","0","0",""
"03021","Dover-Turkey Creek Fire-Rescue","3138 Sydney-Dover RD","PO Box 397","Dover","FL","33527-0397","3138 Sydney-Dover RD","PO Box 397","","Dover","FL","33527-0397","(813) 659-0903","(813) 757-3710","HILLSBOROUGH             ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","2","3","26","0","0","1",""
"05191","Dundee Fire Department","118 Merrill AVE","PO Box 1000","Dundee","FL","33838","","","PO Box 1000","Dundee","FL","33838-1000","863-419-3100","863-419-3103","POLK                     ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://townofdundee.com/","1","4","15","0","0","1","No"
"04072","Dunedin Fire Department","1042 Virginia ST","","Dunedin","FL","34698-7325","1042 Virginia ST","","","Dunedin","FL","34698-7325","727-298-3102","727-298-3104","PINELLAS                 ","Career","Local (includes career  combination  and volunteer)","https://www.dunedingov.com/","3","51","0","0","4","0","Yes"
"14031","Dunnellon Fire Rescue","12014 S Williams ST","","Dunnellon","FL","34432","12014 S Williams ST","","","Dunnellon","FL","34432-6020","352-465-8594","352-465-8588","MARION                   ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://dunnellonfirerescue.org/","1","4","24","0","0","15","Yes"
"04081","East Lake Tarpon Special Fire Control District","3375 Tarpon Lake BLVD","","Palm Harbor","FL","34685","3375 Tarpon Lake BLVD","","","Palm Harbor","FL","34685","(727) 784-8668","(727) 787-4613","PINELLAS                 ","Career","Local (includes career  combination  and volunteer)","https://www.eastlakefirerescue.com","3","36","0","0","2","0",""
"15061","East Manatee Fire Rescue District","3200 Lakewood Ranch BLVD","","Bradenton","FL","34211","3200 Lakewood Ranch BLVD","","","Bradenton","FL","34211-2114","941-751-5611","941-751-5910","MANATEE                  ","Career","Local (includes career  combination  and volunteer)","https://www.emfr.org/","6","67","0","0","8","0","No"
"33041","East Milton Volunteer Fire Department","5081 Ward Basin RD","","MIlton","FL","32583","","","PO Box 791","Milton","FL","32572-0791","850-626-0122","850-623-3918","SANTA ROSA               ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","2","3","10","0","0","0",""
"64012","East Naples Fire Control & Rescue District","4798 Davis BLVD","","Naples","FL","34104-5020","4798 Davis BLVD","","","Naples","FL","34104-5020","239-774-7111","239-348-7546","COLLIER                  ","Career","Local (includes career  combination  and volunteer)","https://www.enfd.org/","5","69","0","0","11","0","No"
"43062","East Niceville Fire District","1709 27TH ST","","Niceville","FL","32578-2927","1709 27TH ST","","","Niceville","FL","32578-2927","850-678-2311","850-678-7123","OKALOOSA                 ","Career","Local (includes career  combination  and volunteer)","https://enfd.net/","1","10","0","0","0","0","No"
"","Econ Fina Volunteer Fire Department","4052 Econfina River RD","","Lamont","FL","32336","4052 Econfina River RD","","","Lamont","FL","32336","850-584-7139","","TAYLOR                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","5","0","0","5",""
"08042","Edgewater Department of Fire and Rescue Services","1605 S Ridgewood AVE","PO Box 100","Edgewater","FL","32132","","","PO Box 100","Edgewater","FL","32132-0100","386-424-2445","386-424-2450","VOLUSIA                  ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.cityofedgewater.org/","2","27","12","0","4","6","Yes"
"16012","Englewood Area Fire Control District","599 S Indiana AVE","","Englewood","FL","34223","599 S Indiana AVE","","","Englewood","FL","34223","941-474-3311","941-473-2600","SARASOTA                 ","Career","Local (includes career  combination  and volunteer)","","4","42","0","0","4","0",""
"09023","Escambia County Fire Rescue","6575 N W ST","","Pensacola","FL","32505-1714","6575 N W ST","","","Pensacola","FL","32505-1714","850-475-5530","850-475-5535","ESCAMBIA                 ","Mostly Career","Local (includes career  combination  and volunteer)","https://myescambia.com/government/departments/ps/fire","22","178","122","0","12","88","No"
"18041","Estero Fire & Rescue","21500 Three Oaks PKWY","","Estero","FL","33928-3009","21500 Three Oaks PKWY","","","Estero","FL","33928-3009","239-390-8000","239-390-8020","LEE                      ","Career","Local (includes career  combination  and volunteer)","https://esterofire.org/","4","48","0","0","19","0","Yes"
"51101","Esto Fire Department","3312 2ND AVE S","","Bonifay","FL","32425","3312 2ND AVE S","","","Bonifay","FL","32425-3556","850-263-0911","850-263-0911","HOLMES                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","15","0","0","5","Yes"
"12012","Eustis Fire Department","100 W Norton AVE","","Eustis","FL","32726-4710","100 W Norton AVE","","","Eustis","FL","32726-4710","352-357-6585","352-357-2349","LAKE                     ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.eustis.org/","2","22","0","3","2","0","No"
"","Everglades National Park Visitor Protection","40001 SR 9336","","Homestead","FL","33034","40001 SR 9336","","","Homestead","FL","33034","(305) 242-7740","(305) 242-7729","MIAMI-DADE               ","Volunteer","Federal government (Executive branch)","","2","0","0","15","0","0",""
"31021","Falmouth Fire/Rescue","18313 W US 90 HWY","PO Box 1328","Live Oak","FL","32064","18313 W US 90 HWY","PO Box 1328","","Live Oak","FL","32064","(386) 362-3232","","SUWANNEE                 ","Volunteer","Local (includes career  combination  and volunteer)","https://www.fire-ems.net/firedept/view/LiveOak4FL","1","0","10","0","0","6",""
"55041","Fanning Springs Fire Rescue","17657 NW 90th CT","","Fanning Springs","FL","32693","17651 NW 90th CT","","","Fanning Springs","FL","32693","352-463-0379","352-463-7060","LEVY                     ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","0","12","0","0","No"
"05011","Fedhaven Volunteer Fire Company","700 Club Circle","PO Box 8575","Fedhaven","FL","33854-8575","700 Club Circle","","PO Box 8575","Fedhaven","FL","33854-8575","(863) 679-4201","","POLK                     ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","2","0","0","0",""
"49011","Felda Volunteer Fire Department","1100 County Road 830","","Felda","FL","33930","","","PO Box 277","Felda","FL","33930-0277","863-674-4081","863-612-0742","HENDRY                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","1","2","0","0","No"
"41012","Fernandina Beach Fire-Rescue Department","516 S 10TH ST  STE 18","","Fernandina Beach","FL","32034","204 Ash ST","","","Fernandina Beach","FL","32034-4230","904-277-7331","904-310-3453","NASSAU                   ","Career","Local (includes career  combination  and volunteer)","https://www.fbfl.us/","2","32","0","0","1","0","Yes"
"50051","Five Points Volunteer Fire Department  Inc.","4288 Douglas Ferry RD","","Caryville","FL","32427-2302","4053 Douglas Ferry RD","","","Bonifay","FL","32425-8753","(850) 547-3859","(850) 547-3859","WASHINGTON               ","Volunteer","Local (includes career  combination  and volunteer)","","2","0","20","0","0","0",""
"61011","Flagler Beach Fire Department","320 S Flagler AVE","","Flagler Beach","FL","32136-3700","","","PO Box 2540","Flagler Beach","FL","32136-2540","386-517-2010","386-517-2011","FLAGLER                  ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://fbfire.org/site/","1","6","0","14","0","0",""
"61091","Flagler County Fire Rescue","1769 E Moody BLVD BLDG 3","","Bunnell","FL","32110-5991","1769 E Moody BLVD BLDG 3","","","Bunnell","FL","32110-5991","386-313-4200","386-313-4299","FLAGLER                  ","Mostly Career","Local (includes career  combination  and volunteer)","","9","85","30","0","2","5","Yes"
"22031","Florahome-Grandin Volunteer Fire Department","201 W Ohio ST","","Florahome","FL","32140","","","PO Box 222","Florahome","FL","32140-0222","386-659-2140","386-659-1732","PUTNAM                   ","Volunteer","Private or industrial fire  brigade","","1","0","15","0","0","2","No"
"21012","Florida State Hospital Fire Department","100 N Main ST BLDG 1250","PO Box 1000","Chattahoochee","FL","32324","","","PO Box 1000","Chattahoochee","FL","32324-1000","850-663-7283","850-663-7116","GADSDEN                  ","Career","State government","","1","23","0","0","5","0","No"
"43021","Florosa Fire Control District","1900 W Highway 98","","Mary Esther","FL","32569","1900 W Highway 98","","","Mary Esther","FL","32569-2262","850-581-2900","850-581-6654","OKALOOSA                 ","Volunteer","Special District","https://www.florosafd.org","1","0","33","0","2","0",""
"10192","Fort Lauderdale Fire Rescue","101 NE 3rd AVE","","Fort Lauderdale","FL","33301","101 NE 3rd AVE","","","Fort Lauderdale","FL","33301","954-828-6800","954-828-6843","BROWARD                  ","Career","Local (includes career  combination  and volunteer)","https://ci.ftlaud.fl.us/fire-rescue/index.htm","13","378","0","0","34","0",""
"05081","Fort Meade Fire Department","12 N Albritton ST","PO Box 856","Fort Meade","FL","33841-0856","","","PO Box 856","Fort Meade","FL","33841-0856","863-285-1100","863-285-7211","POLK                     ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","0","25","0","0",""
"18102","Fort Myers Beach Fire Control District","100 Voorhis ST","","Fort Myers Beach","FL","33931","","","PO Box 2880","Fort Myers Beach","FL","33932-2880","239-590-4200","239-463-6761","LEE                      ","Career","Local (includes career  combination  and volunteer)","https://www.fmbfire.org/","3","48","0","0","3","0","Yes"
"18112","Fort Myers Shores Fire Rescue & Protection District","12345 Palm Beach BLVD","","Fort Myers","FL","33905-4831","12345 Palm Beach BLVD","","","Fort Myers","FL","33905-4831","239-694-2833","239-694-3355","LEE                      ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.fmsfd.org/","1","16","10","0","1","0","No"
"43032","Fort Walton Beach Fire Department","5 Hollywood BLVD NE","","Fort Walton Beach","FL","32548","5 Hollywood BLVD NE","","","Fort Walton Beach","FL","32548-4920","850-833-9565","850-833-9685","OKALOOSA                 ","Career","Local (includes career  combination  and volunteer)","","2","37","0","0","1","0","No"
"19071","Four Communities Fire Department","4870 N US Highway 1","","Cocoa","FL","32927","","","PO Box 227","Sharpes","FL","32959-0227","321-636-6666","321-633-1778","BREVARD                  ","Volunteer","Local (includes career  combination  and volunteer)","https://www.fourcommunities.com/","1","0","18","0","0","6","No"
"39061","Fowlers Bluff Fire Rescue","15609 NW 46TH LN","","Chiefland","FL","32626","","","PO Box 442","Chiefland","FL","32644-0442","352-490-5805","352-490-5805","LEVY                     ","Volunteer","Contract fire department","","1","0","2","0","0","2","No"
"36041","Freeport Fire Rescue","100 Washington ST","","Freeport","FL","32439","","","PO Box 339","Freeport","FL","32439-0339","850-835-2192","850-835-2426","WALTON                   ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","7","10","0","0","0","No"
"05132","Frostproof Fire Department","47 N Lake Reedy BLVD","","Frostproof","FL","33843","","","PO Box 308","Frostproof","FL","33843-0308","863-635-7863","863-635-3333","POLK                     ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","2","3","0","25","0","0","No"
"11012","Gainesville Fire Rescue","1025 NE 13TH ST","","Gainesville","FL","32601-4673","1025 NE 13TH ST","","","Gainesville","FL","32601-4673","352-334-5078","352-334-2529","ALACHUA                  ","Career","Local (includes career  combination  and volunteer)","https://www.cityofgainesville.org/GainesvilleFireRescue(GFR).aspx","9","166","0","0","9","0","No"
"56031","Genoa Volunteer Fire Department","8448 SE 137TH BLVD","","White Springs","FL","32096-2300","8448 SE 137TH BLVD","","","White Springs","FL","32096-2300","386-397-1414","386-397-1414","HAMILTON                 ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","14","0","0","15",""
"22021","George's Lake Area Volunteer Fire Department","PO Box 171","","Florahome","FL","32140-1551","","","PO Box 171","Florahome","FL","32140-1551","(386) 659-1746","","PUTNAM                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","23","0","0","2",""
"55001","Gilchrist County Fire Rescue","3250 N US Highway 129","","Bell","FL","32619-3319","3250 N US Highway 129","","","Bell","FL","32619-3319","386-935-5400","386-935-0294","GILCHRIST                ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://www.gilchrist.fl.us/","5","16","0","22","7","7","Yes"
"60021","Glades County Volunteer Fire Department","Hwy 27 and 2nd Street","","Moore Haven","FL","33471","Hwy 27 and 2nd Street","","","Moore Haven","FL","33471","863-946-0566","863-946-1920","GLADES                   ","Volunteer","Local (includes career  combination  and volunteer)","","7","0","0","115","2","0",""
"36141","Glendale Volunteer Fire Department  Inc.","148 Railroad AVE","","Defuniak Springs","FL","32433","148 Railroad AVE","","","Defuniak Springs","FL","32433","(850) 859-2800","","WALTON                   ","Mostly Career","Local (includes career  combination  and volunteer)","","2","8","2","0","0","0",""
"64022","Golden Gate Fire Control & Rescue District","14575 Collier BLVD","","Naples","FL","34119-9605","14575 Collier BLVD","","","Naples","FL","34119-9605","239-348-7540","239-348-7546","COLLIER                  ","Career","Local (includes career  combination  and volunteer)","https://www.ggfire.com/","5","64","0","0","8","0","No"
"25032","Graceville Fire Department","986 6TH AVE","","Graceville","FL","32440","","","PO Box 637","Graceville","FL","32440-0637","850-263-0285","850-263-0285","JACKSON                  ","Volunteer","Local (includes career  combination  and volunteer)","https://www.gracevillefirerescue.com","1","0","20","0","0","6",""
"25031","Grand Ridge Volunteer Fire Department","2086 Porter AVE","","Grand Ridge","FL","32442","","","PO Box 180","Grand Ridge","FL","32442-0180","850-592-4621","850-592-5583","JACKSON                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","17","0","0","0","No"
"06062","Greenacres Fire Rescue","2995 S Jog RD","","Greenacres","FL","33467-2003","2995 S Jog RD","","","Greenacres","FL","33467-2003","561-642-2103","561-642-2109","PALM BEACH               ","Career","Local (includes career  combination  and volunteer)","https://www.ci.greenacres.fl.us/","2","40","0","0","11","0","Yes"
"50071","Greenhead Volunteer Fire Department","5872 HWY 77","","Chipley","FL","32428","5872 HWY 77","","","Chipley","FL","32428","(850) 773-2900","","WASHINGTON               ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","18","0","0","0",""
"21021","Greensboro Volunteer Fire Department","163 Green AVE","PO Box 398","Greensboro","FL","32330-0398","","","PO Box 398","Greensboro","FL","32330-0398","(850) 442-6550","(850) 442-6680","GADSDEN                  ","Volunteer","Local (includes career  combination  and volunteer)","https://www.geocities.com/gvfd3/","1","0","19","0","0","0",""
"35012","Greenville Volunteer Fire Department","First ST","","Greenville","FL","32331","","","PO Box 235","Greenville","FL","32331","(850) 948-2241","","MADISON                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","15","0","5","0",""
"21031","Gretna Volunteer Fire Department","190 Third ST","","Gretna","FL","32332","190 Third ST","","PO Box Drawer 220","Gretna","FL","32332","850-856-5257","850-856-6454","GADSDEN                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","10","0","1","0",""
"51021","Gritney Fire- Rescue","1892 Pollard/ Harris RD","","Bonifay","FL","32425","1892 Pollard/ Harris RD","","","Bonifay","FL","32425","(850) 548-4707","","HOLMES                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","12","0","0","10",""
"12041","Groveland Fire Department","450 W Orange ST","","Groveland","FL","34736","156 S Lake AVE","","","Groveland","FL","34736-2538","352-429-1209","352-429-0059","LAKE                     ","Mostly Career","Local (includes career  combination  and volunteer)","https://groveland-fl.gov/","2","20","5","0","0","0","Yes"
"33081","Gulf Breeze Fire - Rescue","313 Fairpoint DR","","Gulf Breeze","FL","32561","","","PO Box 640","Gulf Breeze","FL","32562-0640","850-934-5133","850-934-5132","SANTA ROSA               ","Volunteer","Local (includes career  combination  and volunteer)","https://www.cityofgulfbreeze.com/","1","0","20","0","0","0","No"
"66051","Gulf County Beaches Volunteer Fire Department","7912 Alabama AVE","","Port St Joe","FL","32456-6211","7912 Alabama AVE","","","Port St Joe","FL","32456-6211","850-647-8452","850-647-8452","GULF                     ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","22","0","0","2","No"
"04071","Gulfport Fire Department","2401 53RD ST S","","Gulfport","FL","33707","2401 53RD ST S","","","Gulfport","FL","33707-5161","727-893-1062","727-893-1060","PINELLAS                 ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.mygulfport.us/","1","13","1","0","2","20","Yes"
"05042","Haines City Fire Department","138 N 11TH ST","","Haines City","FL","33844-4328","138 N 11TH  ST","","","Haines City","FL","33844-4328","863-421-3612","863-421-3622","POLK                     ","Career","Local (includes career  combination  and volunteer)","","2","29","0","0","2","0","Yes"
"10022","Hallandale Beach Fire Rescue","121 SW 3RD ST","","Hallandale Beach","FL","33009-6309","121 SW 3RD ST","","","Hallandale Beach","FL","33009-6309","954-457-1470","954-457-1472","BROWARD                  ","Career","Local (includes career  combination  and volunteer)","https://www.hallandalebeachfl.gov/","3","71","0","0","3","0","Yes"
"56032","Hamilton County Fire / Rescue  Fire Department","902 US 41 NW","","Jasper","FL","32052","902 US 41 NW","","","Jasper","FL","32052","386-792-6447","386-792-6626","HAMILTON                 ","Volunteer","Local (includes career  combination  and volunteer)","","3","0","30","0","2","0",""
"30032","Hardee County Fire Rescue","149 K D Revell RD","","Wauchula","FL","33873","149 K D Revell RD","","","Wauchula","FL","33873-2051","863-773-3313","863-773-3827","HARDEE                   ","Mostly Career","Local (includes career  combination  and volunteer)","","3","39","1","0","0","0","No"
"62010","Hatch Bend Volunteer Fire Department","898 SE Earl BLVD","","Branford","FL","32008","898 SE Earl BLVD","","","Branford","FL","32008","386-935-3378","386-935-3378","LAFAYETTE                ","Volunteer","Local (includes career  combination  and volunteer)","","2","0","18","0","0","20",""
"21041","Havana Volunteer Fire Department","128 7TH AVE E","","Havana","FL","32333","","","PO Box 1068","Havana","FL","32333-1068","850-539-2802","850-539-2830","GADSDEN                  ","Volunteer","Local (includes career  combination  and volunteer)","https://www.townofhavana.com/","1","0","19","0","3","0","No"
"45051","Heilbronn Springs Volunteer Fire Department","21412 NW SR 16","","Starke","FL","32091","21412 NW SR 16","","","Starke","FL","32091","(904) 964-2673","(904) 964-2673","BRADFORD                 ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","14","0","0","2",""
"49000","Hendry County Emergency Services","485 E Cowboy WAY","PO Box 38","LaBelle","FL","33975-0038","485 E Cowboy WAY","","PO Box 38","LaBelle","FL","33975-0038","(863) 612-0721","(863) 612-0723","HENDRY                   ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","3","0","36","0","0",""
"40041","Hernando Beach Volunteer Fire Department","3451 Shoal Line BLVD","","Hernando Beach","FL","34607-3440","3451 Shoal Line BLVD","","","Hernando Beach","FL","34607-3440","(352) 592-5615","(352) 592-5617","HERNANDO                 ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","28","0","0","0",""
"40040","Hernando County Fire Rescue","60 Veterans AVE","","Brooksville","FL","34601","60 Veterans AVE","","","Brooksville","FL","34601-3206","352-540-4353","352-540-4355","HERNANDO                 ","Career","Local (includes career  combination  and volunteer)","https://www.hernandocounty.us/FireDept/","9","125","0","0","9","35","No"
"40011","Hernando High Point Volunteer Fire Department","8008 Baltic ST","","Brooksville","FL","34613-5528","8008 Baltic ST","","","Brooksville","FL","34613-5528","352-596-5338","352-592-5139","HERNANDO                 ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","20","0","0","22","No"
"01022","Hialeah Fire Department","83 E 5TH ST","","Hialeah","FL","33010","83 E 5TH ST","","","Hialeah","FL","33010-4834","305-883-6900","305-883-5991","MIAMI-DADE               ","Career","Local (includes career  combination  and volunteer)","https://www.hialeahfl.gov/","8","284","0","0","40","0","Yes"
"27021","Highlands Lakes Volunteer Fire & Rescue Station","2840 N Highlands BLVD","","Avon Park","FL","33825","2840 N Highlands BLVD","","","Avon Park","FL","33825","(863) 452-3807","(863) 452-3806","HIGHLANDS                ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","2","2","20","0","0","3",""
"27061","Highlands Park Volunteer Fire Department","1317 Columbus ST","","Lake Placid","FL","33852-7110","1317 Columbus ST","","","Lake Placid","FL","33852-7110","863-699-3711","863-699-3711","HIGHLANDS                ","Volunteer","Local (includes career  combination  and volunteer)","https://www.hpvfd.org/","1","0","7","0","0","5","No"
"41011","Hilliard Volunteer Fire Department","PO Box 249","","Hilliard","FL","32046","","","PO Box 249","Hilliard","FL","32046","(904) 845-3555","(904) 845-1221","NASSAU                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","10","0","0","4",""
"03051","Hillsborough County Fire Rescue","2709 E Hanna AVE","","Tampa","FL","33610","2709 E Hanna AVE","","","Tampa","FL","33610","(813) 272-6600","(813) 272-7039","HILLSBOROUGH             ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.hillsboroughcounty.org/firerescue/","42","767","175","0","28","6",""
"50081","Hinson's Crossroads Volunteer Fire Department","5487 Douglas Ferry RD","","Caryville","FL","32427","3163 River RD","","","Vernon","FL","32462-3581","850-535-9103","850-535-9103","WASHINGTON               ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","7","0","0","0",""
"33121","Holley-Navarre Fire District","8618 Esplanade ST","","Navarre","FL","32566","8618 Esplanade ST","","","Navarre","FL","32566-2137","850-939-5236","850-939-0755","SANTA ROSA               ","Mostly Career","Local (includes career  combination  and volunteer)","","4","13","10","0","1","0","Yes"
"22131","Hollister Volunteer Fire Department  Inc.","617 State RD 20","","Hollister","FL","32147","","","PO Box 314","Hollister","FL","32147","(386) 325-4606","","PUTNAM                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","10","0","0","5",""
"08082","Holly Hill Fire Department","1020 Daytona AVE","","Holly Hill","FL","32117","1065 Ridgewood AVE","","","Holly Hill","FL","32117-2807","386-248-9473","386-248-9461","VOLUSIA                  ","Career","Local (includes career  combination  and volunteer)","","1","13","0","0","1","0","No"
"10052","Hollywood Fire Rescue & Beach Safety Department","2741 Stirling RD","","Hollywood","FL","33312","2741 Stirling RD","","PO Box 229045","Hollywood","FL","33022-9045","954-967-4248","954-967-4253","BROWARD                  ","Career","Local (includes career  combination  and volunteer)","https://www.hollywoodfl.org/index.aspx?nid=95","6","206","0","0","51","0","No"
"43101","Holt Fire District","490 HWY 90 W","","Holt","FL","32564","","","PO Box 226","Holt","FL","32564-0226","(850) 537-3414","(850) 537-3910","OKALOOSA                 ","Volunteer","Local (includes career  combination  and volunteer)","","2","0","14","0","0","2",""
"29021","Ichetucknee/ South Columbia Volunteer Fire Department (part of Columbia County VFD)","495 SW Dortch ST","","Fort White","FL","32038","495 SW Dortch ST","","","Fort White","FL","32038","(386) 497-3333","(386) 497-1750","COLUMBIA                 ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","12","0","0","0",""
"64021","Immokalee Fire Control District","502 New Market RD E","","Immokalee","FL","34142-3804","502 New Market RD E","","","Immokalee","FL","34142-3804","239-657-2111","239-657-9489","COLLIER                  ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.immfire.com/","3","24","10","0","1","0","Yes"
